TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR|FLAGPROD
5960/TAT/HO/09/2022|20100067|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20100103|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20107050|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20107051|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20107052|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20107053|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20107054|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20108608|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20108609|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20108738|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20108739|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20109665|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20111140|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20111141|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20111142|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20112662|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20112663|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20112664|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20114053|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20114054|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20114055|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20114434|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20114435|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20114436|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20115143|22/09/2022|30/09/2022|HBS=Y
