PLU|DC|WILAYAH|FLAGPROD|MINOR|TIPE_GDG
10003800|G097|MDO|TBO=N|24|
10003801|G097|MDO||24|
10003808|G097|MDO|TBO=N|1|
10003813|G097|MDO|TBO=N|12|
10003814|G097|MDO|TBO=N|24|
10003828|G097|MDO||1|
10003840|G097|MDO||2|
10003842|G097|MDO||2|
10003844|G097|MDO||2|
10003845|G097|MDO||1|
10003847|G097|MDO||1|
10003861|G097|MDO||1|
10003873|G097|MDO|TBO=N|3|
10003895|G097|MDO||1|
10003911|G097|MDO||5|
10003922|G097|MDO||1|
10003930|G097|MDO|TBO=Y|2|
10003931|G097|MDO||1|
10003933|G097|MDO||0|
10003939|G097|MDO||1|
10003941|G097|MDO||1|
10003942|G097|MDO||1|
10003953|G097|MDO|TBO=Y|1|
10003960|G097|MDO||1|
10003963|G097|MDO||0|
10003974|G097|MDO||12|
10003980|G097|MDO||5|
10003981|G097|MDO||1|
10003995|G097|MDO||1|
10003997|G097|MDO||1|
10003999|G097|MDO||1|
10004016|G097|MDO||1|
10004017|G097|MDO||2|
10004018|G097|MDO||1|
10004024|G097|MDO||2|
10004031|G097|MDO|BAP=Y|1000|
10004032|G097|MDO||1|
10004034|G097|MDO||2|
10004037|G097|MDO||1|
10004039|G097|MDO||1|
10004042|G097|MDO|BAP=Y|1000|
10004048|G097|MDO|TBO=N|8|
10004051|G097|MDO||3|
10004055|G097|MDO||1|
10004067|G097|MDO||3|
10004068|G097|MDO||3|
10004084|G097|MDO||1|
10004097|G097|MDO||0|
10004106|G097|MDO||1|
10004107|G097|MDO||1|
10004220|G097|MDO||1|
10004237|G097|MDO|TBO=N|6|
10004256|G097|MDO|TBO=N|1|
10004262|G097|MDO||2|
10004327|G097|MDO||24|
10004331|G097|MDO||1|
10004335|G097|MDO||48|
10004336|G097|MDO|TBO=N|24|
10004337|G097|MDO|TBO=N|12|
10004359|G097|MDO|TBO=N|2|
10004367|G097|MDO||1|
10004369|G097|MDO||1|
10004371|G097|MDO||1|
10004372|G097|MDO||1|
10004394|G097|MDO||2|
10004401|G097|MDO||1|
10004442|G097|MDO||3|
10004443|G097|MDO||2|
10004461|G097|MDO||0|
10004487|G097|MDO|TBO=N|48|
10004490|G097|MDO||1|
